STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,size_emp,Size classes in number of persons employed,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SKE_ITSPE(1.0),Enterprises that employ ICT specialists by size class of enterprise,A,Annual,1-4,From 1 to 4 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_ITSP2,Enterprise employed ICT/IT specialists (reduced comparability with 2007),PC_ENT,Percentage of enterprises,SK,Slovakia,2012,,6.59,,,,,
dataflow,ESTAT:ISOC_SKE_ITSPE(1.0),Enterprises that employ ICT specialists by size class of enterprise,A,Annual,1-4,From 1 to 4 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_ITSP2,Enterprise employed ICT/IT specialists (reduced comparability with 2007),PC_ENT,Percentage of enterprises,SK,Slovakia,2014,,2.92,,,,,
dataflow,ESTAT:ISOC_SKE_ITSPE(1.0),Enterprises that employ ICT specialists by size class of enterprise,A,Annual,1-4,From 1 to 4 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_ITSP2,Enterprise employed ICT/IT specialists (reduced comparability with 2007),PC_ENT,Percentage of enterprises,SK,Slovakia,2015,,4.87,,,,,
dataflow,ESTAT:ISOC_SKE_ITSPE(1.0),Enterprises that employ ICT specialists by size class of enterprise,A,Annual,1-4,From 1 to 4 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_ITSP2,Enterprise employed ICT/IT specialists (reduced comparability with 2007),PC_ENT,Percentage of enterprises,SK,Slovakia,2016,,4.31,,,,,
dataflow,ESTAT:ISOC_SKE_ITSPE(1.0),Enterprises that employ ICT specialists by size class of enterprise,A,Annual,1-4,From 1 to 4 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_ITSP2,Enterprise employed ICT/IT specialists (reduced comparability with 2007),PC_ENT_CUSE,Percentage of the enterprises which use a computer,DE,Germany,2012,,4.48,,,,,
dataflow,ESTAT:ISOC_SKE_ITSPE(1.0),Enterprises that employ ICT specialists by size class of enterprise,A,Annual,1-4,From 1 to 4 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_ITSP2,Enterprise employed ICT/IT specialists (reduced comparability with 2007),PC_ENT_CUSE,Percentage of the enterprises which use a computer,DE,Germany,2014,,6.84,,,,,
dataflow,ESTAT:ISOC_SKE_ITSPE(1.0),Enterprises that employ ICT specialists by size class of enterprise,A,Annual,1-4,From 1 to 4 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_ITSP2,Enterprise employed ICT/IT specialists (reduced comparability with 2007),PC_ENT_CUSE,Percentage of the enterprises which use a computer,DE,Germany,2015,,6.24,,,,,
dataflow,ESTAT:ISOC_SKE_ITSPE(1.0),Enterprises that employ ICT specialists by size class of enterprise,A,Annual,1-4,From 1 to 4 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_ITSP2,Enterprise employed ICT/IT specialists (reduced comparability with 2007),PC_ENT_CUSE,Percentage of the enterprises which use a computer,DE,Germany,2016,,5.83,,,,,
dataflow,ESTAT:ISOC_SKE_ITSPE(1.0),Enterprises that employ ICT specialists by size class of enterprise,A,Annual,1-4,From 1 to 4 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_ITSP2,Enterprise employed ICT/IT specialists (reduced comparability with 2007),PC_ENT_CUSE,Percentage of the enterprises which use a computer,PT,Portugal,2012,,19.38,,,,,
dataflow,ESTAT:ISOC_SKE_ITSPE(1.0),Enterprises that employ ICT specialists by size class of enterprise,A,Annual,1-4,From 1 to 4 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_ITSP2,Enterprise employed ICT/IT specialists (reduced comparability with 2007),PC_ENT_CUSE,Percentage of the enterprises which use a computer,PT,Portugal,2014,,4.79,,,,,
