STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2024,,23.1,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2011,,44.0,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2012,,41.8,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2013,,40.2,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2014,,41.9,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2015,,40.4,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2016,,38.8,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2017,,35.7,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2018,,34.3,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2019,,34.4,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2020,,34.0,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2021,,33.9,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2022,,32.8,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2023,,31.9,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CH,Switzerland,2024,,31.9,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2004,,39.6,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2005,,33.7,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2006,,31.2,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2007,,29.1,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2008,,33.0,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2009,,34.7,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2010,,33.3,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2011,,23.4,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2012,,19.0,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2013,,22.8,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2014,,25.7,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2015,,26.2,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2016,,25.4,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2017,,18.5,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2018,,15.2,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2019,,16.4,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",CY,Cyprus,2020,,18.5,,e,estimated,,
