structure,structure_id,structure_name,freq,time_frequency,unit,unit_of_measure,age,age_class,geo,geopolitical_entity_reporting,time_period,time,obs_value,observation_value,obs_flag,observation_status_flag_v2_structure,conf_status,confidentiality_status_flag
dataflow,ESTAT:ISOC_SKS_ITSPA(1.0),Employed ICT specialists by age,A,Annual,PC,Percentage,Y15-34,From 15 to 34 years,CZ,Czechia,2021,,33.1,,b,break in time series,,
dataflow,ESTAT:ISOC_SKS_ITSPA(1.0),Employed ICT specialists by age,A,Annual,PC,Percentage,Y15-34,From 15 to 34 years,CZ,Czechia,2022,,33.7,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPA(1.0),Employed ICT specialists by age,A,Annual,PC,Percentage,Y15-34,From 15 to 34 years,CZ,Czechia,2023,,36.1,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPA(1.0),Employed ICT specialists by age,A,Annual,PC,Percentage,Y15-34,From 15 to 34 years,CZ,Czechia,2024,,34.4,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPA(1.0),Employed ICT specialists by age,A,Annual,PC,Percentage,Y15-34,From 15 to 34 years,DE,Germany,2004,,37.2,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPA(1.0),Employed ICT specialists by age,A,Annual,PC,Percentage,Y15-34,From 15 to 34 years,DE,Germany,2005,,36.0,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPA(1.0),Employed ICT specialists by age,A,Annual,PC,Percentage,Y15-34,From 15 to 34 years,DE,Germany,2006,,35.2,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPA(1.0),Employed ICT specialists by age,A,Annual,PC,Percentage,Y15-34,From 15 to 34 years,DE,Germany,2007,,36.0,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPA(1.0),Employed ICT specialists by age,A,Annual,PC,Percentage,Y15-34,From 15 to 34 years,DE,Germany,2008,,36.6,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPA(1.0),Employed ICT specialists by age,A,Annual,PC,Percentage,Y15-34,From 15 to 34 years,DE,Germany,2009,,36.8,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPA(1.0),Employed ICT specialists by age,A,Annual,PC,Percentage,Y15-34,From 15 to 34 years,DE,Germany,2010,,37.4,,be,"break in time series, estimated",,
