unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value,Geopolitical entity (reporting)
PERCENTAGE,BE,PROV. LIMBURG (BE),2023-Q1,5.4,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2023-Q2,5.3,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2023-Q3,5.1,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2023-Q4,4.8,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2024-Q1,4.4,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2024-Q2,4.0,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2024-Q3,3.4,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2024-Q4,3.2,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2025-Q1,3.1,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2025-Q2,3.2,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2019-Q4,6.5,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2020-Q1,6.4,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2020-Q2,6.3,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2020-Q3,6.3,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2020-Q4,6.3,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2021-Q1,6.5,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2021-Q2,6.4,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2021-Q3,6.5,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2021-Q4,6.5,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2022-Q1,6.3,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2022-Q2,6.1,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2022-Q3,6.1,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2022-Q4,6.1,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2023-Q1,6.2,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2023-Q2,6.2,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2023-Q3,6.0,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2023-Q4,5.6,Belgium
PERCENTAGE,BE,PROV. OOST-VLAANDEREN,2024-Q1,5.1,Belgium
