job_title,employment_type,experience_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,work_year,remote_type,role_category,salary_band,international_job
Data Scientist,FT,SE,283000,USD,United States,283000,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,184000,USD,United States,184000,United States,M,2023,Unknown,Data Scientist,High,False
Data Scientist,FT,Executive,220000,USD,United States,220000,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Engineer,FT,SE,260000,USD,United States,260000,United States,M,2023,Unknown,Data Engineer,Very High,False
Applied Scientist,FT,SE,246500,USD,United States,246500,United States,M,2023,Unknown,Data Scientist,Very High,False
Applied Scientist,FT,SE,133500,USD,United States,133500,United States,M,2023,Unknown,Data Scientist,Medium,False
Data Scientist,FT,SE,174000,USD,United States,174000,United States,M,2023,Unknown,Data Scientist,High,False
Data Scientist,FT,SE,134000,USD,United States,134000,United States,M,2023,Unknown,Data Scientist,Medium,False
Head of Data Science,FT,Executive,330000,USD,United States,330000,United States,M,2023,Unknown,Data Scientist,Very High,False
Head of Data Science,FT,Executive,230000,USD,United States,230000,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Engineer,FT,SE,254000,USD,United States,254000,United States,M,2023,Unknown,Data Engineer,Very High,False
Machine Learning Engineer,FT,SE,218540,USD,United States,218540,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Data Scientist,FT,MI,100000,GBP,United Kingdom,123040,United Kingdom,M,2023,Unknown,Data Scientist,Medium,False
Data Scientist,FT,MI,60000,GBP,United Kingdom,73824,United Kingdom,M,2023,Unknown,Data Scientist,Low,False
Data Manager,FT,MI,167000,USD,United States,167000,United States,M,2023,Unknown,Management,High,False
Data Manager,FT,MI,109000,USD,United States,109000,United States,M,2023,Unknown,Management,Medium,False
Data Engineer,FT,SE,208000,USD,United States,208000,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,193000,USD,United States,193000,United States,M,2023,Unknown,Data Engineer,Very High,False
